年份,作物类型,面积_公顷,单产_公斤每公顷,总产_吨
1953,麦类,588.3,142.7,83.9
1953,玉米,1.8,715.5,1.3
1953,大豆,183.3,448.5,82.2
1954,麦类,144.9,318.8,46.2
1954,玉米,333.7,640.5,213.7
1954,高粱,2.7,164.6,0.4
1954,大豆,620.3,344.4,213.6
1955,麦类,7051.1,637.8,4497.2
1955,水稻,13.3,240.0,3.2
1955,玉米,1350.5,965.7,1304.2
1955,高粱,38.3,219.2,8.4
1955,大豆,4952.5,692.7,3430.6
1956,麦类,8420.5,243.6,2051.2
1956,玉米,2172.3,566.7,1231.1
1956,高粱,258.0,56.7,14.6
1956,大豆,3377.9,698.0,2357.6
1957,麦类,2678.7,921.8,2469.1
1957,水稻,8.1,898.8,7.3
1957,玉米,2255.7,2543.4,5737.1
1957,高粱,282.9,98.3,27.8
1957,大豆,2219.4,986.6,2189.5
1958,麦类,2599.1,649.8,1688.9
1958,水稻,52.0,3078.9,160.1
1958,玉米,2445.6,2415.3,5906.9
1958,高粱,54.9,1489.1,81.7
1958,大豆,2041.5,1420.8,2900.5
1959,麦类,2217.1,1355.4,3005.1
1959,水稻,76.6,2227.8,170.6
1959,玉米,1803.1,2235.8,4031.4
1959,高粱,141.8,923.9,131.0
1959,大豆,1860.3,1104.6,2054.9
1960,麦类,3268.5,1120.1,3660.8
1960,水稻,700.3,1157.1,810.3
1960,玉米,1993.1,1887.6,3762.1
1960,高粱,101.6,586.7,59.6
1960,大豆,2218.5,1100.9,2442.2
1961,麦类,3029.5,1270.8,3849.8
1961,水稻,914.9,1372.2,1255.5
1961,玉米,1904.3,1685.1,3209.0
1961,高粱,51.3,478.2,24.5
1961,大豆,1987.3,1062.9,2112.3
1962,麦类,3165.9,1031.4,3265.3
1962,水稻,953.0,1224.0,1166.5
1962,玉米,1680.5,1819.1,3056.9
1962,高粱,37.1,272.4,10.1
1962,大豆,2251.1,657.0,1479.0
1963,麦类,2374.0,1446.2,3433.2
1963,水稻,836.5,1763.6,1475.2
1963,玉米,1738.1,2013.9,3500.3
1963,大豆,1992.6,1105.4,2092.0
1964,麦类,2132.5,1545.8,3296.3
1964,水稻,886.2,1718.9,1523.2
1964,玉米,1549.7,2005.4,3107.8
1964,大豆,1698.9,761.0,1292.8
1965,麦类,2313.7,1274.7,2949.3
1965,水稻,697.1,2456.9,1712.8
1965,玉米,1666.1,1850.6,3083.1
1965,大豆,1716.4,1005.3,1725.5
1966,麦类,2802.4,1452.3,4069.9
1966,水稻,507.1,1204.8,611.0
1966,玉米,899.1,1626.0,1461.0
1966,高粱,8.3,600.0,5.0
1966,大豆,1767.9,1187.9,2100.0
1967,麦类,3193.3,1524.8,4868.9
1967,水稻,11.3,882.3,10.0
1967,玉米,734.8,2140.1,1572.5
1967,高粱,172.4,382.8,66.0
1967,大豆,1744.3,778.2,1357.4
1968,麦类,3418.6,1400.4,4787.4
1968,玉米,780.1,769.1,599.9
1968,高粱,113.5,749.1,85.0
1968,大豆,1798.5,803.0,1444.1
1969,麦类,3197.9,1350.9,4320.1
1969,水稻,276.2,1864.5,515.0
1969,玉米,740.9,1523.6,1128.7
1969,高粱,243.0,596.7,145.0
1969,大豆,1479.8,844.7,1249.9
1970,麦类,3188.9,1421.4,4532.7
1970,水稻,765.1,3208.5,2454.9
1970,玉米,785.9,1614.5,1268.7
1970,高粱,74.3,920.3,68.3
1970,大豆,1196.4,451.4,540.0
1971,麦类,3125.6,638.3,1994.9
1971,水稻,1255.7,2837.9,3563.4
1971,玉米,774.4,865.8,670.5
1971,高粱,128.8,981.3,126.4
1971,大豆,766.1,319.8,245.0
1972,麦类,3257.9,1639.8,5342.4
1972,水稻,1507.9,3382.2,5099.9
1972,玉米,526.4,1690.7,890.0
1972,高粱,133.9,661.2,88.6
1972,大豆,1022.7,831.2,850.0
1973,麦类,3230.2,2155.1,6961.2
1973,水稻,1600.3,3871.7,6195.9
1973,玉米,472.1,2212.7,1044.5
1973,高粱,100.0,1722.5,172.2
1973,大豆,1042.1,1042.7,1086.5
1974,麦类,3266.7,2179.8,7120.7
1974,水稻,1574.0,3672.2,5780.0
1974,玉米,358.1,1888.4,676.2
1974,高粱,51.3,1084.1,55.6
1974,大豆,941.6,720.9,678.8
1975,麦类,3266.7,2530.1,8264.8
1975,水稻,1610.7,2665.1,4292.5
1975,玉米,284.8,2112.0,601.5
1975,高粱,63.2,758.7,47.9
1975,大豆,1021.7,472.2,482.4
1976,麦类,3345.7,2516.1,8418.0
1976,水稻,1587.0,2697.0,4280.1
1976,玉米,149.7,2853.5,427.3
1976,高粱,44.3,837.9,37.1
1976,大豆,1076.2,1359.3,1462.9
1977,麦类,3355.3,2077.8,6971.6
1977,水稻,1401.7,2611.1,3659.8
1977,玉米,370.7,2673.3,991.1
1977,高粱,39.0,861.5,33.6
1977,大豆,1589.3,973.5,1547.2
1978,麦类,3392.8,2762.7,9373.3
1978,水稻,291.0,2297.9,668.7
1978,玉米,322.7,2875.1,927.7
1978,高粱,170.8,287.1,49.0
1978,大豆,1397.5,857.0,1197.6
1979,麦类,4149.3,3060.6,12699.4
1979,水稻,651.5,2717.0,1770.0
1979,玉米,476.7,3346.2,1595.0
1979,高粱,17.3,398.1,6.9
1979,大豆,1073.5,982.8,1055.1
1980,麦类,4317.1,2808.2,12123.0
1980,水稻,800.5,4509.2,3609.4
1980,玉米,208.7,3719.1,776.1
1980,大豆,1041.0,1144.2,1191.1
